Epoch: 174/20000, Action: (9, 0), Score: -1702, Tetrominoes 26, Cleared lines: 0, Loss: 1238.6343994140625
Epoch: 175/20000, Action: (7, 0), Score: -1562, Tetrominoes 29, Cleared lines: 0, Loss: 1780.7523193359375
Epoch: 176/20000, Action: (3, 1), Score: -1902, Tetrominoes 23, Cleared lines: 0, Loss: 1455.7705078125
Epoch: 177/20000, Action: (8, 1), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 1477.0108642578125
Epoch: 178/20000, Action: (2, 1), Score: -1662, Tetrominoes 27, Cleared lines: 0, Loss: 2026.836669921875
Epoch: 179/20000, Action: (11, 3), Score: -1592, Tetrominoes 29, Cleared lines: 0, Loss: 1305.120361328125
Epoch: 180/20000, Action: (4, 0), Score: -1762, Tetrominoes 25, Cleared lines: 0, Loss: 1504.8453369140625
Epoch: 181/20000, Action: (3, 0), Score: -1552, Tetrominoes 30, Cleared lines: 0, Loss: 1720.671630859375
Epoch: 182/20000, Action: (6, 1), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1809.109130859375
Epoch: 183/20000, Action: (6, 1), Score: -1712, Tetrominoes 26, Cleared lines: 0, Loss: 1527.200927734375
Epoch: 184/20000, Action: (2, 1), Score: -2192, Tetrominoes 17, Cleared lines: 0, Loss: 1466.794921875
Epoch: 185/20000, Action: (6, 3), Score: -1252, Tetrominoes 35, Cleared lines: 0, Loss: 1605.0084228515625
Epoch: 186/20000, Action: (4, 0), Score: -1532, Tetrominoes 29, Cleared lines: 0, Loss: 1677.259765625
Epoch: 187/20000, Action: (6, 2), Score: -1552, Tetrominoes 29, Cleared lines: 0, Loss: 1608.2991943359375
Epoch: 188/20000, Action: (0, 2), Score: -1802, Tetrominoes 25, Cleared lines: 0, Loss: 1842.0589599609375
Epoch: 189/20000, Action: (7, 0), Score: -2172, Tetrominoes 16, Cleared lines: 0, Loss: 1716.8607177734375
Epoch: 190/20000, Action: (1, 0), Score: -1652, Tetrominoes 27, Cleared lines: 0, Loss: 1823.8140869140625
Epoch: 191/20000, Action: (11, 1), Score: -1642, Tetrominoes 28, Cleared lines: 0, Loss: 1530.589599609375
Epoch: 192/20000, Action: (2, 0), Score: -1612, Tetrominoes 28, Cleared lines: 0, Loss: 1377.3260498046875
Epoch: 193/20000, Action: (2, 0), Score: -1582, Tetrominoes 29, Cleared lines: 0, Loss: 1654.335205078125
Epoch: 194/20000, Action: (1, 0), Score: -1512, Tetrominoes 30, Cleared lines: 0, Loss: 1611.8775634765625
Epoch: 195/20000, Action: (7, 1), Score: -1352, Tetrominoes 33, Cleared lines: 0, Loss: 1477.768310546875
Epoch: 196/20000, Action: (12, 0), Score: -1382, Tetrominoes 33, Cleared lines: 0, Loss: 1109.5675048828125
Epoch: 197/20000, Action: (1, 2), Score: -1642, Tetrominoes 28, Cleared lines: 0, Loss: 1326.98291015625
Epoch: 198/20000, Action: (10, 1), Score: -1822, Tetrominoes 24, Cleared lines: 0, Loss: 1553.5875244140625
Epoch: 199/20000, Action: (6, 1), Score: -1512, Tetrominoes 30, Cleared lines: 0, Loss: 1451.6185302734375
Epoch: 200/20000, Action: (8, 0), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 1485.761962890625
Epoch: 201/20000, Action: (8, 0), Score: -1902, Tetrominoes 22, Cleared lines: 0, Loss: 1465.682861328125
Epoch: 202/20000, Action: (4, 1), Score: -1782, Tetrominoes 25, Cleared lines: 0, Loss: 1601.761962890625
Epoch: 203/20000, Action: (1, 0), Score: -1292, Tetrominoes 35, Cleared lines: 0, Loss: 1475.0894775390625
Epoch: 204/20000, Action: (10, 1), Score: -1932, Tetrominoes 22, Cleared lines: 0, Loss: 1828.0576171875
Epoch: 205/20000, Action: (6, 0), Score: -1902, Tetrominoes 22, Cleared lines: 0, Loss: 1589.7635498046875
Epoch: 206/20000, Action: (6, 1), Score: -1682, Tetrominoes 27, Cleared lines: 0, Loss: 1630.224609375
Epoch: 207/20000, Action: (3, 0), Score: -1922, Tetrominoes 22, Cleared lines: 0, Loss: 1864.908203125
Epoch: 208/20000, Action: (3, 1), Score: -1712, Tetrominoes 26, Cleared lines: 0, Loss: 1799.729248046875
Epoch: 209/20000, Action: (3, 3), Score: -1592, Tetrominoes 29, Cleared lines: 0, Loss: 1754.627685546875
Epoch: 210/20000, Action: (6, 0), Score: -1932, Tetrominoes 22, Cleared lines: 0, Loss: 1242.958740234375
Epoch: 211/20000, Action: (2, 1), Score: -2012, Tetrominoes 20, Cleared lines: 0, Loss: 1693.6112060546875
Epoch: 212/20000, Action: (4, 0), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1247.8701171875
Epoch: 213/20000, Action: (6, 1), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 1464.0888671875
Epoch: 214/20000, Action: (8, 0), Score: -2052, Tetrominoes 19, Cleared lines: 0, Loss: 1257.14794921875
Epoch: 215/20000, Action: (5, 0), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 1394.1180419921875
Epoch: 216/20000, Action: (1, 1), Score: -1382, Tetrominoes 34, Cleared lines: 0, Loss: 1336.2322998046875
Epoch: 217/20000, Action: (5, 0), Score: -2072, Tetrominoes 19, Cleared lines: 0, Loss: 1266.340087890625
Epoch: 218/20000, Action: (4, 0), Score: -1832, Tetrominoes 23, Cleared lines: 0, Loss: 1678.6868896484375
Epoch: 219/20000, Action: (13, 1), Score: -1512, Tetrominoes 30, Cleared lines: 0, Loss: 1444.5086669921875
